Day_of_week,Age_band_of_driver,Sex_of_driver,Driving_experience,Defect_of_vehicle,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Accident_severity
Thursday,18-30,Male,2-5yr,No defect,Dry,Daylight,Normal,Collision with animals,1,1,Moving Backward,Driver or rider,Male,18-30,3,Serious Injury
Thursday,18-30,Male,5-10yr,No defect,Dry,Daylight,Normal,Other,2,1,Getting off,Passenger,Female,31-50,3,Serious Injury
Thursday,31-50,Male,Above 10yr,,Dry,Daylight,Normal,Rollover,2,1,Reversing,Passenger,Male,18-30,3,Serious Injury
Wednesday,18-30,Male,,,Dry,Daylight,Normal,Collision with animals,2,3,Turnover,na,na,na,na,Slight Injury
Wednesday,18-30,Male,2-5yr,No defect,Dry,Daylight,Normal,Rollover,2,3,Going straight,Driver or rider,Female,31-50,3,Slight Injury
Wednesday,18-30,Unknown,5-10yr,No defect,Dry,Daylight,Normal,Collision with animals,2,3,Going straight,Pedestrian,Male,Under 18,3,Slight Injury
Friday,18-30,Male,2-5yr,No defect,Dry,Daylight,Normal,Collision with animals,1,1,Going straight,na,na,na,na,Slight Injury
Tuesday,Over 51,Unknown,,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Slight Injury
Tuesday,18-30,Male,1-2yr,No defect,Dry,Daylight,Normal,Fall from vehicles,2,1,Going straight,Driver or rider,Male,18-30,2,Slight Injury
Monday,18-30,Male,2-5yr,No defect,Dry,Daylight,Normal,Collision with roadside-parked vehicles,1,1,Going straight,na,na,na,na,Slight Injury
Thursday,18-30,Male,Above 10yr,No defect,Dry,Daylight,Normal,Collision with roadside-parked vehicles,1,1,Moving Backward,Driver or rider,Male,18-30,3,Slight Injury
Thursday,18-30,Male,Below 1yr,No defect,Dry,Daylight,Normal,Rollover,2,1,Reversing,Passenger,Female,18-30,3,Slight Injury
Thursday,31-50,Unknown,2-5yr,No defect,Dry,Daylight,Normal,Collision with animals,2,1,Turnover,na,na,na,na,Slight Injury
Saturday,Over 51,Male,Below 1yr,No defect,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Driver or rider,Female,18-30,3,Slight Injury
Saturday,18-30,Male,5-10yr,No defect,Dry,Daylight,Normal,Fall from vehicles,2,1,Going straight,Pedestrian,Male,Under 18,3,Slight Injury
Friday,18-30,Male,1-2yr,No defect,Dry,Darkness - lights lit,Normal,Collision with roadside-parked vehicles,2,2,Going straight,na,na,na,na,Slight Injury
Friday,Over 51,Male,Below 1yr,No defect,Dry,Darkness - lights lit,Normal,Collision with animals,2,2,Going straight,Driver or rider,Female,18-30,2,Slight Injury
Friday,Over 51,Male,,,Dry,Darkness - lights lit,Normal,Collision with animals,2,2,Going straight,na,na,na,na,Slight Injury
Sunday,Over 51,Male,Below 1yr,7,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Female,18-30,3,Slight Injury
Sunday,31-50,Male,Below 1yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Slight Injury
Sunday,31-50,Male,,5,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Female,31-50,3,Slight Injury
Sunday,18-30,Male,2-5yr,No defect,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,2,Going straight,Driver or rider,Male,18-30,3,Slight Injury
Wednesday,18-30,Male,Above 10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Under 18,3,Slight Injury
Wednesday,18-30,Male,Above 10yr,No defect,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,Under 18,3,Slight Injury
Friday,31-50,Male,5-10yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Serious Injury
Friday,31-50,Male,1-2yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Slight Injury
Friday,31-50,Male,Below 1yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3,Slight Injury
Monday,18-30,Male,Below 1yr,,Dry,Daylight,Normal,Rollover,2,1,Going straight,na,na,na,na,Slight Injury
Monday,18-30,Male,2-5yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,2,Slight Injury
Tuesday,18-30,Male,1-2yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,Over 51,3,Slight Injury
Tuesday,31-50,Male,5-10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Slight Injury
Saturday,Over 51,Male,2-5yr,No defect,Dry,Daylight,Normal,Collision with pedestrians,2,3,Going straight,Driver or rider,Male,31-50,3,Slight Injury
Saturday,31-50,Male,5-10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,31-50,3,Slight Injury
Saturday,31-50,Male,Above 10yr,,Dry,Daylight,Normal,Collision with roadside objects,2,3,Going straight,na,na,na,na,Slight Injury
Saturday,18-30,Unknown,5-10yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Passenger,Female,18-30,3,Slight Injury
Thursday,18-30,Male,5-10yr,,Dry,Daylight,Normal,Rollover,2,1,Going straight,Driver or rider,Male,31-50,3,Slight Injury
Thursday,31-50,Male,5-10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Slight Injury
Tuesday,18-30,Unknown,Above 10yr,No defect,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Slight Injury
Tuesday,Over 51,Male,1-2yr,No defect,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Slight Injury
Friday,18-30,Male,2-5yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Slight Injury
Friday,31-50,Male,1-2yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Slight Injury
Sunday,31-50,Male,,No defect,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,Under 18,3,Slight Injury
Sunday,31-50,Male,5-10yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Slight Injury
Monday,Unknown,Female,5-10yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,Over 51,3,Slight Injury
Monday,31-50,Male,Above 10yr,No defect,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Passenger,Female,31-50,3,Slight Injury
Thursday,31-50,Unknown,2-5yr,No defect,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Passenger,Female,31-50,3,Slight Injury
Thursday,18-30,Male,Above 10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Unknown,Driver or rider,Male,18-30,3,Slight Injury
Wednesday,18-30,Male,2-5yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Slight Injury
Wednesday,31-50,Male,5-10yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Slight Injury
Monday,18-30,Male,5-10yr,,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Reversing,Passenger,Male,18-30,3,Slight Injury
Monday,31-50,Male,5-10yr,No defect,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Slight Injury
Thursday,31-50,Male,5-10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Driver or rider,Male,18-30,3,Slight Injury
Thursday,31-50,Male,Above 10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Driver or rider,Male,Over 51,3,Slight Injury
Thursday,31-50,Male,Below 1yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,na,na,na,na,Slight Injury
Thursday,31-50,Male,5-10yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Driver or rider,Female,31-50,3,Slight Injury
Tuesday,Over 51,Male,1-2yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,Pedestrian,Male,31-50,3,Serious Injury
Wednesday,Over 51,Unknown,,,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Slight Injury
Sunday,31-50,Male,Above 10yr,No defect,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Female,18-30,3,Slight Injury
Sunday,Under 18,Male,2-5yr,No defect,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Slight Injury
Wednesday,31-50,Male,1-2yr,No defect,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Female,31-50,3,Serious Injury
Wednesday,31-50,Male,1-2yr,No defect,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,2,Serious Injury
Sunday,Over 51,Male,2-5yr,No defect,Dry,Daylight,Normal,Collision with roadside objects,1,2,Going straight,na,na,na,na,Slight Injury
Sunday,Over 51,Male,,,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Turnover,Pedestrian,Female,Under 18,3,Slight Injury
Wednesday,Over 51,Unknown,2-5yr,No defect,Dry,Darkness - lights lit,Normal,Rollover,2,3,Going straight,Driver or rider,Female,18-30,3,Slight Injury
Wednesday,Over 51,Male,1-2yr,,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,na,na,Slight Injury
Wednesday,31-50,Male,5-10yr,,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Reversing,na,na,na,na,Slight Injury
Monday,18-30,Unknown,Below 1yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,Serious Injury
Monday,18-30,Male,2-5yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Serious Injury
Sunday,31-50,Male,5-10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Driver or rider,Male,18-30,3,Fatal injury
Sunday,31-50,Male,Above 10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Fatal injury
Monday,18-30,Male,2-5yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,Slight Injury
Monday,18-30,Male,Above 10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,Slight Injury
Sunday,Over 51,Male,1-2yr,,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Slight Injury
Sunday,Over 51,Male,5-10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Slight Injury
Thursday,18-30,Male,2-5yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Slight Injury
Thursday,18-30,Male,2-5yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Slight Injury
Thursday,31-50,Male,2-5yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Female,18-30,3,Slight Injury
Sunday,18-30,Unknown,2-5yr,,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Male,31-50,2,Slight Injury
Sunday,Over 51,Male,Above 10yr,,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,Over 51,3,Slight Injury
Thursday,18-30,Male,Above 10yr,,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Female,31-50,3,Slight Injury
Thursday,31-50,Male,5-10yr,,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Slight Injury
Monday,18-30,Male,,,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Slight Injury
Monday,18-30,Male,2-5yr,,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Slight Injury
Monday,18-30,Male,5-10yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Parked,Driver or rider,Male,18-30,2,Slight Injury
Monday,Over 51,Male,5-10yr,,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Slight Injury
Monday,31-50,Unknown,Above 10yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,2,Slight Injury
Thursday,Under 18,Male,5-10yr,,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,4,Going straight,na,na,na,na,Serious Injury
Thursday,Under 18,Male,Above 10yr,,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,4,Going straight,Driver or rider,Male,31-50,2,Serious Injury
Thursday,Under 18,Male,Below 1yr,No defect,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,4,Going straight,na,na,na,na,Serious Injury
Thursday,Under 18,Male,5-10yr,,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,4,Going straight,na,na,na,na,Serious Injury
Monday,Over 51,Male,1-2yr,No defect,Dry,Darkness - lights unlit,Normal,Vehicle with vehicle collision,3,1,Turnover,na,na,na,na,Slight Injury
Monday,31-50,Unknown,5-10yr,No defect,Dry,Darkness - lights unlit,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,18-30,3,Slight Injury
Monday,31-50,Male,5-10yr,No defect,Dry,Darkness - lights unlit,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Slight Injury
Friday,18-30,Male,2-5yr,,Dry,Daylight,Normal,Rollover,2,1,Unknown,na,na,na,na,Slight Injury
Friday,31-50,Male,5-10yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Female,18-30,3,Slight Injury
Monday,31-50,Unknown,5-10yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Passenger,Female,Under 18,3,Slight Injury
Friday,18-30,Male,Above 10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,Driver or rider,Male,18-30,3,Slight Injury
Saturday,Unknown,Female,Above 10yr,No defect,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,3,Turnover,na,na,na,na,Slight Injury
Saturday,18-30,Unknown,Below 1yr,No defect,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,na,na,Slight Injury
Saturday,18-30,Male,5-10yr,,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,18-30,3,Slight Injury
Saturday,18-30,Male,5-10yr,No defect,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Unknown,na,na,na,na,Slight Injury
Wednesday,31-50,Male,2-5yr,,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Slight Injury
Wednesday,18-30,Male,Above 10yr,,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Slight Injury
Friday,18-30,Male,2-5yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Female,Over 51,3,Slight Injury
Friday,31-50,Male,Above 10yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Slight Injury
Friday,18-30,Male,Below 1yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Reversing,Driver or rider,Male,18-30,2,Slight Injury
Tuesday,18-30,Male,2-5yr,,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Passenger,Female,18-30,3,Serious Injury
Monday,Under 18,Unknown,5-10yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,Over 51,3,Slight Injury
Monday,Over 51,Male,5-10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Slight Injury
Saturday,31-50,Male,1-2yr,,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,Pedestrian,Male,Under 18,3,Slight Injury
Sunday,18-30,Male,,,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,3,Reversing,na,na,na,na,Slight Injury
Sunday,18-30,Male,1-2yr,No defect,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,3,Going straight,Driver or rider,Male,18-30,3,Slight Injury
Sunday,18-30,Male,5-10yr,,Dry,Darkness - lights lit,Normal,Collision with pedestrians,1,3,Going straight,Passenger,Male,Under 18,3,Slight Injury
Wednesday,31-50,Male,1-2yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,na,na,na,na,Slight Injury
Saturday,Under 18,Male,5-10yr,,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Male,Over 51,3,Slight Injury
Saturday,18-30,Male,2-5yr,,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,31-50,3,Slight Injury
Friday,31-50,Male,2-5yr,,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,Over 51,3,Serious Injury
Saturday,18-30,Unknown,5-10yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,Over 51,3,Slight Injury
Friday,31-50,Male,Below 1yr,,Dry,Darkness - lights lit,Normal,Collision with pedestrians,1,1,Reversing,na,na,na,na,Slight Injury
Friday,31-50,Male,Below 1yr,,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3,Serious Injury
Friday,31-50,Male,,,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,Under 18,3,Serious Injury
Thursday,Under 18,Male,Below 1yr,,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,1,2,Going straight,Pedestrian,Male,31-50,3,Serious Injury
Thursday,Under 18,Male,2-5yr,,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,1,2,Parked,na,na,na,na,Serious Injury
Friday,18-30,Unknown,2-5yr,No defect,Wet or damp,Darkness - lights lit,Raining,Collision with pedestrians,1,4,Going straight,na,na,na,na,Slight Injury
Friday,18-30,Male,5-10yr,,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,1,4,Going straight,Driver or rider,Male,31-50,3,Slight Injury
Friday,18-30,Male,5-10yr,No defect,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,4,Unknown,Driver or rider,Male,18-30,3,Slight Injury
Friday,18-30,Unknown,5-10yr,No defect,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,4,Going straight,Driver or rider,Female,Over 51,3,Slight Injury
Saturday,18-30,Male,5-10yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,Under 18,1,Slight Injury
Friday,Under 18,Male,5-10yr,,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,1,1,Stopping,Driver or rider,Male,18-30,3,Slight Injury
Sunday,18-30,Male,2-5yr,No defect,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Slight Injury
Sunday,31-50,Male,5-10yr,7,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Overtaking,Driver or rider,Male,18-30,3,Slight Injury
Sunday,31-50,Male,Below 1yr,7,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,2,Going straight,Driver or rider,Male,Over 51,3,Slight Injury
Sunday,18-30,Male,1-2yr,No defect,Wet or damp,Darkness - lights lit,Raining and Windy,Collision with roadside objects,2,1,Reversing,na,na,na,na,Slight Injury
Sunday,18-30,Male,2-5yr,No defect,Wet or damp,Darkness - lights lit,Raining and Windy,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Slight Injury
Saturday,Unknown,Female,2-5yr,No defect,Dry,Daylight,Cloudy,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,Over 51,3,Slight Injury
Saturday,31-50,Male,5-10yr,No defect,Dry,Daylight,Cloudy,Vehicle with vehicle collision,2,2,Unknown,Driver or rider,Male,Over 51,3,Slight Injury
Saturday,31-50,Male,5-10yr,No defect,Dry,Daylight,Cloudy,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Slight Injury
Saturday,Under 18,Male,,,Wet or damp,Darkness - lights lit,Raining,With Train,2,1,Moving Backward,Driver or rider,Male,Over 51,3,Slight Injury
Saturday,Under 18,Male,Above 10yr,,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Slight Injury
Friday,Under 18,Male,Above 10yr,No defect,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Moving Backward,Driver or rider,Male,18-30,3,Slight Injury
Friday,31-50,Male,Above 10yr,,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Passenger,Female,18-30,3,Slight Injury
Monday,Over 51,Male,unknown,,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,31-50,2,Slight Injury
Monday,31-50,Male,5-10yr,,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,3,Unknown,na,na,na,na,Slight Injury
Monday,31-50,Male,2-5yr,,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,Under 18,3,Slight Injury
Tuesday,18-30,Male,5-10yr,,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Slight Injury
Tuesday,18-30,Male,2-5yr,,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Under 18,3,Slight Injury
Saturday,Over 51,Male,5-10yr,,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Turnover,na,na,na,na,Slight Injury
Saturday,18-30,Male,Above 10yr,No defect,Wet or damp,Darkness - lights lit,Raining,Collision with pedestrians,2,1,Going straight,Driver or rider,Male,31-50,3,Slight Injury
Sunday,31-50,Male,2-5yr,No defect,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Slight Injury
Sunday,31-50,Unknown,2-5yr,No defect,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Passenger,Female,18-30,3,Slight Injury
Monday,Over 51,Male,Above 10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Reversing,Driver or rider,Male,18-30,2,Slight Injury
Monday,Over 51,Male,1-2yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Getting off,na,na,na,na,Slight Injury
Monday,18-30,Unknown,Above 10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Slight Injury
Sunday,31-50,Male,,,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Getting off,Driver or rider,Male,18-30,3,Slight Injury
Sunday,Over 51,Male,5-10yr,No defect,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Slight Injury
Saturday,18-30,Male,5-10yr,No defect,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,31-50,3,Slight Injury
Saturday,18-30,Male,5-10yr,,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,18-30,3,Slight Injury
